timestamp,random_seed,threshold,top_k,requested_count,seed_index,seed_track_id,sequence_len,average_similarity,minimum_similarity,maximum_similarity,average_cost,diversity,graph_coverage,graph_density,average_degree,build_time_seconds,recommendation_time_seconds,recommendation_types
2026-08-05 17:22:06,63,0.3,50,10,238,5I2OjdgZWSkY4Cbsle3K4g,11,0.371634,0.300892,0.529122,0.628366,0.437651,0.903323,0.014071,13.958711,0.207026,0.00283,"{'1-hop acoustic': 8, '2-hop multi-hop': 2}"
2026-08-05 17:22:06,64,0.3,50,10,517,4b6GGW0b2nvDm9NLZ8wpU3,11,0.352423,0.0,0.566863,0.647577,0.550275,0.903323,0.014071,13.958711,0.207026,0.000612,"{'1-hop acoustic': 7, '2-hop multi-hop': 3}"
2026-08-05 17:22:06,65,0.3,50,10,616,2hw1sBTzjB9zghnlLpqeAj,11,0.269482,0.0,0.49248,0.730518,0.698944,0.903323,0.014071,13.958711,0.207026,0.001088,"{'1-hop acoustic': 6, '2-hop multi-hop': 4}"
2026-08-05 17:22:06,66,0.3,50,10,27,6Dy1jexKYriXAVG6evyUTJ,11,0.397334,0.0,0.770267,0.602666,0.448489,0.903323,0.014071,13.958711,0.207026,0.002887,"{'1-hop acoustic': 9, '2-hop multi-hop': 1}"
2026-08-05 17:22:06,67,0.3,50,10,574,6oioIUu0nD9NVElgV8z1l2,11,0.372243,0.302991,0.523438,0.627757,0.409217,0.903323,0.014071,13.958711,0.207026,0.001927,"{'1-hop acoustic': 9, '2-hop multi-hop': 1}"
2026-08-05 17:22:06,68,0.3,50,10,203,6rVfzUhBz1lMVKUOwuWgBk,11,0.423636,0.305883,0.607158,0.576364,0.411973,0.903323,0.014071,13.958711,0.207026,0.00178,{'1-hop acoustic': 10}
2026-08-05 17:22:06,69,0.3,50,10,733,2RjotzMwi1MUyEZgvwC8vN,11,0.411173,0.312125,0.538045,0.588827,0.426274,0.903323,0.014071,13.958711,0.207026,0.00107,"{'1-hop acoustic': 8, '2-hop multi-hop': 2}"
2026-08-05 17:22:06,70,0.3,50,10,665,1wkhjwS8sRHtZad7uV4eMq,11,0.183515,0.0,0.404674,0.816485,0.778418,0.903323,0.014071,13.958711,0.207026,0.000795,"{'1-hop acoustic': 5, '2-hop multi-hop': 4, 'fallback': 1}"
2026-08-05 17:22:06,71,0.3,50,10,718,4KEjTY4RIMTaDJ1I3B963I,11,0.180823,0.0,0.519891,0.819177,0.88835,0.903323,0.014071,13.958711,0.207026,0.001033,"{'2-hop multi-hop': 5, '1-hop acoustic': 5}"
2026-08-05 17:22:06,72,0.3,50,10,558,4vcDc9heFLPOk9xADiukVP,11,0.343695,0.0,0.504057,0.656305,0.364073,0.903323,0.014071,13.958711,0.207026,0.00362,"{'2-hop multi-hop': 2, '1-hop acoustic': 8}"
2026-08-05 17:22:06,73,0.3,50,10,429,7DQOE8yIchm7bPPvJ0w6Bf,11,0.317591,0.0,0.505555,0.682409,0.579189,0.903323,0.014071,13.958711,0.207026,0.000774,"{'1-hop acoustic': 8, '2-hop multi-hop': 2}"
2026-08-05 17:22:06,74,0.3,50,10,225,2LfBDbOiUrtt823XLBH30H,11,0.341709,0.0,0.569482,0.658291,0.467483,0.903323,0.014071,13.958711,0.207026,0.001053,"{'1-hop acoustic': 9, '2-hop multi-hop': 1}"
2026-08-05 17:22:06,75,0.3,50,10,459,6CmXuuXstpcQeLL007qdti,11,0.328912,0.0,0.591365,0.671088,0.452934,0.903323,0.014071,13.958711,0.207026,0.001447,"{'2-hop multi-hop': 1, '1-hop acoustic': 9}"
2026-08-05 17:22:06,76,0.3,50,10,603,3QZ7uX97s82HFYSmQUAN1D,11,0.286085,0.0,0.474653,0.713915,0.398941,0.903323,0.014071,13.958711,0.207026,0.003543,"{'1-hop acoustic': 8, '2-hop multi-hop': 2}"
2026-08-05 17:22:06,77,0.3,50,10,284,5Mktfl3xR4CNPO0u5QZRal,11,0.320512,0.0,0.559314,0.679488,0.391145,0.903323,0.014071,13.958711,0.207026,0.001409,"{'1-hop acoustic': 8, '2-hop multi-hop': 2}"
2026-08-05 17:22:06,78,0.3,50,10,828,3xV6mTlSsIinmU8Xi77qUo,11,0.329481,0.0,0.424013,0.670519,0.373838,0.903323,0.014071,13.958711,0.207026,0.002402,"{'2-hop multi-hop': 2, '1-hop acoustic': 8}"
2026-08-05 17:22:06,79,0.3,50,10,890,0yt5ocnFqmznlEDHcAgwVx,11,0.37479,0.0,0.717911,0.62521,0.514089,0.903323,0.014071,13.958711,0.207026,0.00091,"{'1-hop acoustic': 9, '2-hop multi-hop': 1}"
2026-08-05 17:22:06,80,0.3,50,10,6,4qVR3CF8FuFvHN4L6vXlB1,11,0.440261,0.319952,0.615047,0.559739,0.309563,0.903323,0.014071,13.958711,0.207026,0.001732,{'1-hop acoustic': 10}
2026-08-05 17:22:06,81,0.3,50,10,777,5PRU9ErsMVSRNzDeczXanb,11,0.275108,0.0,0.534286,0.724892,0.4614,0.903323,0.014071,13.958711,0.207026,0.001076,"{'1-hop acoustic': 7, '2-hop multi-hop': 3}"
2026-08-05 17:22:06,82,0.3,50,10,825,0NtkqLHDKeUC6p55XpL4rM,11,0.387008,0.305616,0.57704,0.612992,0.37015,0.903323,0.014071,13.958711,0.207026,0.003222,"{'1-hop acoustic': 9, '2-hop multi-hop': 1}"
2026-08-05 17:22:06,83,0.3,50,10,163,5HfvyTRgYaYTwcZZvlmx5Q,11,0.373376,0.309937,0.526575,0.626624,0.554394,0.903323,0.014071,13.958711,0.207026,0.001517,{'1-hop acoustic': 10}
2026-08-05 17:22:06,84,0.3,50,10,714,1QhmVhpCWt5HpSplRUxdlv,11,0.392328,0.327998,0.636097,0.607672,0.399267,0.903323,0.014071,13.958711,0.207026,0.000826,"{'2-hop multi-hop': 1, '1-hop acoustic': 9}"
2026-08-05 17:22:06,85,0.3,50,10,432,0cXMVqkvlhmrS5cQ1JU13S,11,0.389284,0.306219,0.498978,0.610716,0.479075,0.903323,0.014071,13.958711,0.207026,0.001367,{'1-hop acoustic': 10}
2026-08-05 17:22:06,86,0.3,50,10,348,4vfzROmNsxedKICcHod5Rh,11,0.402423,0.311042,0.592198,0.597577,0.450846,0.903323,0.014071,13.958711,0.207026,0.001119,{'1-hop acoustic': 10}
2026-08-05 17:22:06,87,0.3,50,10,284,5Mktfl3xR4CNPO0u5QZRal,11,0.41023,0.321398,0.624984,0.58977,0.373403,0.903323,0.014071,13.958711,0.207026,0.001052,{'1-hop acoustic': 10}
2026-08-05 17:22:06,88,0.3,50,10,159,24xs25BOSh4iqQERW3Y2nv,11,0.31511,0.0,0.51863,0.68489,0.913134,0.903323,0.014071,13.958711,0.207026,0.00124,"{'1-hop acoustic': 8, '2-hop multi-hop': 2}"
2026-08-05 17:22:06,89,0.3,50,10,220,6RgUXAzzRljhYRI78809Vx,11,0.362922,0.0,0.531271,0.637078,0.320839,0.903323,0.014071,13.958711,0.207026,0.001342,"{'1-hop acoustic': 7, '2-hop multi-hop': 3}"
2026-08-05 17:22:06,90,0.3,50,10,980,7nhrlsT1P4qsslp28UA1BI,11,0.390235,0.318552,0.501174,0.609765,0.333518,0.903323,0.014071,13.958711,0.207026,0.001831,{'1-hop acoustic': 10}
2026-08-05 17:22:06,91,0.3,50,10,781,4enGPiZdy4neFkITvAQwIx,11,0.414541,0.316002,0.506178,0.585459,0.466157,0.903323,0.014071,13.958711,0.207026,0.002813,"{'1-hop acoustic': 9, '2-hop multi-hop': 1}"
2026-08-05 17:22:06,92,0.3,50,10,344,6E6BCsQHXDAdXsrL7zV71N,11,0.321832,0.0,0.452212,0.678168,0.48284,0.903323,0.014071,13.958711,0.207026,0.001757,"{'1-hop acoustic': 9, '2-hop multi-hop': 1}"
2026-08-05 17:22:06,93,0.3,50,10,104,37zB5H8VMrQcippi15J4Jm,11,0.254658,0.0,0.48975,0.745342,0.989289,0.903323,0.014071,13.958711,0.207026,0.000705,"{'2-hop multi-hop': 3, '1-hop acoustic': 7}"
2026-08-05 17:22:06,94,0.3,50,10,94,7sn0OyaKn1XKx18JjUZkSw,11,0.365756,0.300463,0.493232,0.634244,0.568802,0.903323,0.014071,13.958711,0.207026,0.001329,"{'1-hop acoustic': 9, '2-hop multi-hop': 1}"
2026-08-05 17:22:06,95,0.3,50,10,389,65VYeetBIq8z0vdDeoTw2l,11,0.373814,0.305159,0.466088,0.626186,0.370067,0.903323,0.014071,13.958711,0.207026,0.001613,{'1-hop acoustic': 10}
2026-08-05 17:22:06,96,0.3,50,10,99,5v0kY5pPWOL5mUCmq4jHUB,11,0.328219,0.0,0.617113,0.671781,0.524891,0.903323,0.014071,13.958711,0.207026,0.003369,"{'2-hop multi-hop': 4, '1-hop acoustic': 6}"
